date,code,name,volume,open,high,low,close,source_asset,cumulative_factor,adj_open,adj_high,adj_low,adj_close,adj_qa
20180420,4916,事欣科,641871,36.50,36.75,36.10,36.40,yearly_2018.zip,0.7799610309,28.468578,28.663568,28.156593,28.390582,OK
20180423,4916,事欣科,1044800,36.50,36.60,35.20,35.20,yearly_2018.zip,0.7799610309,28.468578,28.546574,27.454628,27.454628,OK
20180424,4916,事欣科,761392,35.50,35.50,34.30,34.30,yearly_2018.zip,0.7799610309,27.688617,27.688617,26.752663,26.752663,OK
20180425,4916,事欣科,461056,33.60,34.80,33.60,34.40,yearly_2018.zip,0.7799610309,26.206691,27.142644,26.206691,26.830659,OK
20180426,4916,事欣科,776128,35.00,35.00,33.30,33.40,yearly_2018.zip,0.7799610309,27.298636,27.298636,25.972702,26.050698,OK
20180427,4916,事欣科,296601,33.80,34.00,33.40,33.90,yearly_2018.zip,0.7799610309,26.362683,26.518675,26.050698,26.440679,OK
20180430,4916,事欣科,755164,34.00,35.00,33.65,34.85,yearly_2018.zip,0.7799610309,26.518675,27.298636,26.245689,27.181642,OK
20180502,4916,事欣科,1730189,35.75,36.30,35.30,35.65,yearly_2018.zip,0.7799610309,27.883607,28.312585,27.532624,27.805611,OK
20180503,4916,事欣科,1076910,36.10,36.30,35.50,36.15,yearly_2018.zip,0.7799610309,28.156593,28.312585,27.688617,28.195591,OK
20180504,4916,事欣科,597700,36.40,36.50,35.65,36.05,yearly_2018.zip,0.7799610309,28.390582,28.468578,27.805611,28.117595,OK
20180507,4916,事欣科,980100,36.80,36.80,36.20,36.40,yearly_2018.zip,0.7799610309,28.702566,28.702566,28.234589,28.390582,OK
20180508,4916,事欣科,870200,36.50,36.95,36.40,36.55,yearly_2018.zip,0.7799610309,28.468578,28.819560,28.390582,28.507576,OK
20180509,4916,事欣科,1403439,37.45,37.50,36.10,36.10,yearly_2018.zip,0.7799610309,29.209541,29.248539,28.156593,28.156593,OK
20180510,4916,事欣科,603748,36.50,36.60,35.85,36.05,yearly_2018.zip,0.7799610309,28.468578,28.546574,27.961603,28.117595,OK
20180511,4916,事欣科,743321,36.15,36.15,35.30,35.45,yearly_2018.zip,0.7799610309,28.195591,28.195591,27.532624,27.649619,OK
20180514,4916,事欣科,1928404,35.25,37.80,35.25,37.20,yearly_2018.zip,0.7799610309,27.493626,29.482527,27.493626,29.014550,OK
20180515,4916,事欣科,5368703,39.00,39.40,36.55,36.55,yearly_2018.zip,0.7799610309,30.418480,30.730465,28.507576,28.507576,OK
20180516,4916,事欣科,923300,36.40,36.90,36.00,36.00,yearly_2018.zip,0.7799610309,28.390582,28.780562,28.078597,28.078597,OK
20180517,4916,事欣科,481400,36.30,36.35,36.00,36.00,yearly_2018.zip,0.7799610309,28.312585,28.351583,28.078597,28.078597,OK
20180518,4916,事欣科,1517400,36.30,37.70,36.30,36.60,yearly_2018.zip,0.7799610309,28.312585,29.404531,28.312585,28.546574,OK
20180521,4916,事欣科,583100,36.60,37.05,36.30,36.60,yearly_2018.zip,0.7799610309,28.546574,28.897556,28.312585,28.546574,OK
20180522,4916,事欣科,466639,36.95,36.95,36.40,36.40,yearly_2018.zip,0.7799610309,28.819560,28.819560,28.390582,28.390582,OK
20180523,4916,事欣科,686600,36.60,36.60,35.85,35.85,yearly_2018.zip,0.7799610309,28.546574,28.546574,27.961603,27.961603,OK
20180524,4916,事欣科,332501,36.35,36.35,35.85,35.90,yearly_2018.zip,0.7799610309,28.351583,28.351583,27.961603,28.000601,OK
20180525,4916,事欣科,525900,36.00,36.60,36.00,36.40,yearly_2018.zip,0.7799610309,28.078597,28.546574,28.078597,28.390582,OK
20180528,4916,事欣科,677101,36.80,37.10,36.45,36.50,yearly_2018.zip,0.7799610309,28.702566,28.936554,28.429580,28.468578,OK
20180529,4916,事欣科,4022271,36.75,38.70,36.40,37.95,yearly_2018.zip,0.7799610309,28.663568,30.184492,28.390582,29.599521,OK
20180530,4916,事欣科,1872509,38.00,38.00,37.00,37.90,yearly_2018.zip,0.7799610309,29.638519,29.638519,28.858558,29.560523,OK
20180531,4916,事欣科,4220502,39.00,39.80,37.80,37.80,yearly_2018.zip,0.7799610309,30.418480,31.042449,29.482527,29.482527,OK
20180601,4916,事欣科,993503,38.00,38.35,37.25,37.35,yearly_2018.zip,0.7799610309,29.638519,29.911506,29.053548,29.131545,OK
20180604,4916,事欣科,557200,37.40,37.90,37.35,37.50,yearly_2018.zip,0.7799610309,29.170543,29.560523,29.131545,29.248539,OK
20180605,4916,事欣科,635360,37.65,37.75,37.00,37.00,yearly_2018.zip,0.7799610309,29.365533,29.443529,28.858558,28.858558,OK
20180606,4916,事欣科,518718,37.20,37.55,37.00,37.40,yearly_2018.zip,0.7799610309,29.014550,29.287537,28.858558,29.170543,OK
20180607,4916,事欣科,1889501,37.70,38.80,37.30,38.70,yearly_2018.zip,0.7799610309,29.404531,30.262488,29.092546,30.184492,OK
20180608,4916,事欣科,3623738,38.60,40.15,38.50,38.55,yearly_2018.zip,0.7799610309,30.106496,31.315435,30.028500,30.067498,OK
20180611,4916,事欣科,4231985,38.60,40.10,38.55,39.20,yearly_2018.zip,0.7799610309,30.106496,31.276437,30.067498,30.574472,OK
20180612,4916,事欣科,3860701,39.95,41.00,38.85,38.95,yearly_2018.zip,0.7799610309,31.159443,31.978402,30.301486,30.379482,OK
20180613,4916,事欣科,1608900,39.35,39.45,38.15,38.40,yearly_2018.zip,0.7799610309,30.691467,30.769463,29.755513,29.950504,OK
20180614,4916,事欣科,730799,38.60,39.20,38.15,38.25,yearly_2018.zip,0.7799610309,30.106496,30.574472,29.755513,29.833509,OK
20180615,4916,事欣科,546200,38.80,38.95,38.20,38.30,yearly_2018.zip,0.7799610309,30.262488,30.379482,29.794511,29.872507,OK
20180619,4916,事欣科,826705,38.35,38.80,37.70,37.70,yearly_2018.zip,0.7799610309,29.911506,30.262488,29.404531,29.404531,OK
20180620,4916,事欣科,1055607,37.60,38.30,36.10,36.85,yearly_2018.zip,0.7799610309,29.326535,29.872507,28.156593,28.741564,OK
